+	己	性	忠	乐	恕	生	义	学	文	小人	圣	贫	耻	孝	国	死	艺	达	亲	父	天	让	信	勇	行	宽	俭	君	恭	道	臣	爱	惠	神	弟	鬼	正	知	政	利	敏	言	德	命	敬	天命	民	贤	家	友	直	人	仁	诗	思	节	君子	礼	富	邦
德	0	0	1	0	0	2	2	2	2	2	0	1	1	0	1	3	1	0	1	0	4	1	2	1	1	0	0	0	0	5	2	1	1	0	0	0	0	1	5	0	0	6	0	0	0	0	6	0	1	0	1	5	2	0	0	0	4	1	1	1
命	1	0	0	2	0	4	2	2	1	1	0	0	1	1	2	3	1	0	1	0	3	0	2	1	6	1	0	3	1	2	2	0	0	0	4	0	1	2	3	2	1	4	0	0	2	0	1	0	0	0	0	9	2	0	2	1	3	4	2	0
敬	2	0	4	0	0	1	5	1	0	1	0	0	0	2	1	1	0	0	0	1	1	0	3	0	3	1	0	1	4	2	0	1	1	1	1	1	0	2	0	0	0	3	0	2	0	0	7	0	0	0	0	6	3	0	2	1	4	4	1	1
天命	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
民	4	0	1	2	0	1	3	4	1	2	1	0	1	1	3	4	0	1	2	0	4	2	5	2	6	1	0	1	2	6	1	1	2	1	0	1	2	7	6	1	2	4	6	1	7	0	0	0	1	0	4	10	9	0	0	1	7	7	1	2
贤	0	0	0	2	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	1	0	0	1	1	3	0	0	0	0	0	0	0	4	1	1	0	3	0	0	0	0	0	0	2	3	0	8	2	0	1	1	2	1	1	2
家	1	0	0	1	0	1	1	0	1	0	0	1	0	0	2	1	0	1	0	0	2	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	2	0	1	1	4	1	0	0	0	1	2	0	0	1	3	3	0	0	0	2	0	1	5
友	2	0	4	1	0	0	0	2	1	0	0	0	1	1	0	1	0	0	0	1	0	0	5	0	0	0	0	2	1	2	0	0	0	0	2	0	0	0	1	1	0	3	0	0	0	0	0	3	0	0	1	3	3	0	0	1	2	1	0	1
直	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	2	1	0	2	3	2	0	0	0	1	3	0	1	0	0	0	0	0	4	0	0	0	3	1	0	0	0	4	0	1	1	0	6	4	0	0	0	3	2	1	3
人	13	0	3	13	2	6	5	9	7	6	5	3	2	3	5	8	1	6	4	4	12	2	9	4	19	2	1	7	5	19	8	3	3	1	5	1	5	24	7	2	4	26	5	9	6	1	10	8	3	3	6	0	19	0	1	4	30	14	4	11
仁	4	0	2	4	0	3	2	4	2	1	2	2	0	2	2	5	1	3	3	1	6	1	4	6	5	2	0	0	3	5	1	3	2	1	3	1	2	16	3	4	4	11	2	2	3	0	9	2	3	3	4	19	0	0	1	0	9	5	3	5
诗	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	0
思	0	0	1	1	0	1	3	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	0	2	2	0	0	1	0	0	0	1	1	1	0	0	2	1	0	0
节	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	4	1	1	0	0	0	0	0	3	0	0	0	0	0	1	1	0	1	1	0	1	0	4	0	0	0	0	2	2	0	0
君子	6	0	2	5	0	4	7	10	6	18	4	3	1	1	2	4	1	1	3	1	8	2	4	5	10	0	0	2	5	17	3	2	3	0	2	0	4	13	3	2	2	19	4	3	4	1	7	2	2	2	3	30	9	1	2	2	0	12	3	4
礼	1	0	1	11	0	4	4	5	5	1	0	1	2	1	3	2	1	0	2	1	4	2	3	4	3	1	3	4	3	4	2	2	0	0	1	0	1	12	3	1	1	11	1	4	4	0	7	1	0	1	2	14	5	5	1	2	12	0	2	2
富	0	0	1	2	0	2	2	1	0	0	0	4	1	0	1	3	0	1	1	0	4	0	3	0	1	1	0	0	1	2	1	2	0	0	1	0	0	2	1	0	1	2	1	2	1	0	1	1	1	0	1	4	3	1	0	0	3	2	0	1
邦	1	0	2	4	0	1	1	2	1	0	0	2	2	0	2	2	0	2	0	1	2	2	2	1	5	0	2	3	2	8	2	0	0	0	0	0	0	7	2	2	1	9	1	0	1	0	2	2	5	1	3	11	5	0	0	0	4	2	1	0
