+	力	辟	己	病	忧	益	欲	性	忠	志	众	患	博	修	安	乐	视	宗	变	劳	恕	生	义	谋	施	谷	学	观	文	小人	祭	惧	圣	相	失	畏	用	贫	衣	耻	孝	听	名	佞	庙	笃	气	国	老	辱	世	死	同	艺	达	和	居	亲	易	骄	丧	父	反	中	天	危	让	信	勇	器	行	乡	宽	加	俭	游	士	惑	君	恭	隐	色	识	乱	哀	道	怀	臣	服	心	爱	伐	惠	神	身	弟	内	慎	进	鬼	异	正	古	室	罪	愚	党	知	损	容	明	政	兴	利	敏	言	贵	退	才	治	善	位	德	命	敬	天命	泰	难	狂	民	免	近	蔽	宰	教	贤	辞	杀	兄	得	朝	亡	质	家	废	友	仕	直	长	人	美	归	简	荡	仁	止	过	诗	孙	怨	思	节	食	君子	礼	富	邦
身	2	0	1	0	0	0	3	0	1	2	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	0	1	1	1	2	0	0	0	2	0	0	4	0	0	1	0	1	1	1	2	0	2	1	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	1	0	0	0	4	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	2	0	0	0	2	2	1	0	2	6	0	0	0	0	2	1	0	0	0	0	0	1	2	3	0	0	0
弟	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	3	0	0	1	0	5	0	1	1	0	0	1	0	1	0	0	0	0	1	6	0	1	0	0	0	0	0	1	1	0	4	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	2	1	0	0	0	0	2	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	4	1	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	3	0	0	0	2	0	0	1	5	0	0	0	0	3	0	1	1	1	0	0	0	1	2	1	1	0
内	1	0	0	0	3	0	1	0	0	0	0	2	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	2	0	1	0	1	0	0	3	1	1	1
慎	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	3	1	0	1
进	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	2	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	2	0	0	0	0	0	0	3	2	0	0
鬼	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
异	0	0	0	0	0	0	1	0	1	2	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	2	0	0	0	0	2	0	2	0	0	2	1	1	0	1	0	0	1	1	0	0	1	2	1	2	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	1	4	0	1	0	0	0	1	1	1	0	0	0	0	0	3	2	1	3
正	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	2	2	0	1	1	0	1	0	0	0	0	2	0	0	0	2	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	1	2	0	0	0	1	0	0	3	0	0	1	0	0	0	0	1	1	0	3	0	1	1	2	0	0	2	0	0	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	4	1	1	1	5	1	0	0	1	1	0	0	1	0	0	1	0	0	2	0	1	0	0	1	0	1	1	0	3	1	0	0	0	0	0	0	0	0	5	1	0	0	0	2	0	0	0	0	1	0	0	3	4	1	0	0
古	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	3	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0
室	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	2	0	0	2	0	0	0	0	0	3	3	0	0	0	1	0	0	0	1	0	1	0	1	0	0	2	0
罪	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1
愚	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
党	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	3	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	1	0	1	0	2	0	0	0	0	0	0	3	1	1	0
知	0	1	5	1	3	1	6	0	1	2	1	3	0	0	2	12	0	1	0	0	0	6	3	0	0	1	7	1	1	2	0	3	2	2	3	2	2	1	0	0	0	0	1	1	2	0	0	2	1	0	2	3	3	2	2	2	4	0	2	1	1	1	2	1	7	1	1	3	6	1	7	1	0	1	1	0	1	3	4	1	1	1	1	2	1	6	1	2	1	2	1	1	0	2	1	1	0	1	1	2	1	1	1	1	0	3	3	0	1	0	1	3	2	2	1	13	1	2	1	1	3	2	1	2	2	2	0	4	3	7	1	0	1	3	0	4	0	2	0	6	1	2	0	2	1	0	3	4	3	24	2	4	1	1	16	1	5	2	1	2	1	3	2	13	12	2	7
损	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
容	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0
明	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	2	3	0	0	0
政	0	1	1	0	0	0	4	0	2	0	3	0	0	1	0	2	1	1	0	2	0	0	0	2	1	0	1	0	1	2	1	0	0	0	1	1	2	0	1	2	3	0	1	0	0	0	0	2	0	1	3	1	0	1	3	0	2	1	0	1	1	3	0	2	2	0	1	4	0	0	5	1	1	0	1	0	1	0	2	1	0	1	0	0	0	3	0	4	0	1	0	1	1	0	1	3	0	0	0	0	1	4	1	1	1	0	1	3	0	0	0	0	2	2	1	4	0	1	1	0	3	2	5	3	0	0	1	1	0	6	1	1	1	2	2	1	0	2	2	7	1	0	0	0	1	1	1	0	0	7	1	1	1	0	3	0	3	1	1	1	0	0	3	3	3	1	2
兴	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	1	0	2	1	0	2	1	0	0	1	1	0	3	0	1	0	0	0	0	0	2	1	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	1	2	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	1	1	0	2	0	1	2	0	1	0	0	1	3	3	1	1
利	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	2	1	0	0	0	4	0	0	0	0	2	1	0	0	2	1	0	2
敏	0	0	2	0	0	0	2	0	0	0	2	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	2	0	1	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	3	0	0	2	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	4	0	2	1	0	4	0	1	0	0	1	0	0	2	2	1	1	1
言	2	2	5	0	1	0	8	1	2	3	1	1	0	1	4	6	2	6	2	1	1	3	6	2	2	0	8	2	5	3	1	0	2	3	4	1	2	2	1	5	2	5	1	0	3	1	3	3	1	3	2	3	1	1	2	2	8	3	3	1	2	2	0	8	5	3	1	9	4	0	19	4	0	1	0	1	2	1	5	4	2	12	0	3	2	9	2	2	3	0	2	2	1	0	4	2	2	3	2	0	3	5	2	1	0	2	2	13	0	3	1	4	2	2	3	0	2	5	1	2	6	1	6	4	3	1	0	6	1	4	0	3	2	2	0	3	2	1	0	7	3	1	1	4	2	3	1	3	2	26	1	3	1	1	11	1	7	5	2	2	3	0	4	19	11	2	9
贵	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	2	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	1	2	3	2	4	1
退	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	2	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	1	2	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	6	0	0	0	0	1	0	3	1	0	0	0	0	0	3	2	1	0
才	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
治	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
善	0	1	0	0	1	2	4	0	2	2	2	0	1	3	1	2	0	0	0	1	0	0	2	0	1	0	2	0	1	1	1	0	1	0	1	0	2	1	1	1	1	0	0	1	0	1	1	1	1	1	1	3	0	0	1	1	5	3	1	1	2	1	1	2	4	1	0	5	0	1	3	1	1	0	0	2	1	1	2	0	2	1	1	1	1	7	1	3	0	1	0	1	0	0	2	0	0	0	0	0	1	1	0	2	1	0	0	3	2	2	0	3	2	1	1	6	2	0	1	0	0	0	5	1	3	0	1	2	0	5	0	1	1	1	2	3	2	2	0	6	1	1	0	0	1	5	0	1	0	18	3	2	1	1	3	1	1	0	0	0	0	1	3	7	3	3	4
位	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
德	2	1	0	0	2	0	4	0	1	1	1	1	0	3	1	0	0	0	0	0	0	2	2	2	0	0	2	0	2	2	0	0	0	1	0	0	2	1	0	1	0	1	0	0	0	1	0	1	0	0	1	3	0	1	0	1	1	1	0	0	0	0	0	2	4	1	1	2	1	0	1	1	0	0	0	2	0	2	0	0	0	2	0	2	0	5	1	2	2	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	6	0	0	1	1	5	0	0	0	0	0	0	1	0	6	1	1	0	0	0	0	1	1	0	4	1	1	0	1	0	0	0	1	0	5	0	1	0	1	2	1	2	0	1	1	0	0	0	4	1	1	1
命	1	0	1	0	1	1	3	0	0	1	1	1	0	2	0	2	1	1	0	0	0	4	2	0	0	0	2	0	1	1	3	0	0	0	2	0	1	0	1	1	1	0	0	0	1	0	0	2	0	1	2	3	0	1	0	0	1	1	0	0	2	0	0	2	3	2	0	2	1	0	6	1	1	1	0	0	2	1	3	1	0	2	0	0	1	2	0	2	1	1	0	1	0	0	0	4	1	0	1	0	0	1	0	0	1	0	1	2	0	0	0	3	1	2	1	4	1	1	0	0	1	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	1	2	2	4	0	0	2	0	0	0	0	9	0	1	1	0	2	0	2	0	0	0	2	1	2	3	4	2	0
敬	0	0	2	1	1	0	0	0	4	1	0	1	0	1	1	0	1	0	0	1	0	1	5	0	0	0	1	1	0	1	1	0	0	0	2	0	2	0	0	0	2	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	3	0	0	0	2	1	0	0	1	1	0	3	0	0	3	0	1	0	0	0	1	0	1	4	0	1	0	0	2	2	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	3	1	0	0	0	3	0	0	2	0	0	0	2	0	7	0	0	0	0	1	0	0	0	1	3	0	1	0	0	0	0	0	0	0	6	0	0	1	0	3	0	0	0	0	1	2	1	1	4	4	1	1
天命	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
泰	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	3	1	0	0
难	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	3	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	1	1	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	1	1	1	0	2	0	1	0	1	0	3	2	2	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	4	0	0	1	1	1	0	0	6	0	1	1	1	2	0	1	0	2	0	1	0	0	1	1	1	0	0	0	1	0	0	0	3	0	1	0	0	0	1	0	0	0	5	1	0	0	0	5	0	1	0	1	3	1	0	2	3	0	1	1
狂	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
民	0	0	4	1	0	0	4	0	1	2	3	0	1	1	1	2	1	1	0	3	0	1	3	0	2	0	4	0	1	2	2	0	1	2	2	1	4	0	1	1	1	0	2	1	1	1	0	3	1	1	1	4	1	0	1	0	3	2	1	1	1	0	0	4	4	0	2	5	2	0	6	0	1	1	0	0	1	0	1	2	1	0	0	1	1	6	0	1	3	1	1	0	2	1	1	0	0	2	0	1	2	2	2	0	1	1	0	7	0	0	0	6	3	1	2	4	0	0	0	0	5	0	6	1	7	0	1	1	1	0	1	1	1	1	4	0	0	3	0	6	0	1	0	1	2	0	0	4	1	10	1	3	2	2	9	0	1	0	0	2	0	1	2	7	7	1	2
免	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	2	0	1
近	1	0	1	1	2	0	2	1	0	1	1	1	2	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	2	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	3	1	1	0	2	1	1	0	0	2	1	0	1
蔽	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	2	0	1	1	0	0	1	0	1	0	0	1	0
宰	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	3	0	0	0	2	0	1	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	1	1	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0
